"category,""over_represented_pvalue"",""under_represented_pvalue"",""numDEInCat"",""numInCat"",""term"",""ontology"""
"GO:0008218,3.77181252442547e-09,0.999999999839185,9,37,""bioluminescence"",""BP"""
"GO:0065008,6.57778496171622e-06,0.999998180539277,20,524,""regulation of biological quality"",""BP"""
"GO:0050896,6.47945984827051e-05,0.99998195434555,16,439,""response to stimulus"",""BP"""
"GO:0006091,6.8559673633425e-05,0.999995838938459,5,31,""generation of precursor metabolites and energy"",""BP"""
"GO:0046416,9.77139566275448e-05,0.999998503016586,3,8,""D-amino acid metabolic process"",""BP"""
"GO:0006979,0.000263544956673389,0.99993832124157,11,236,""response to oxidative stress"",""BP"""
"GO:0030029,0.000288106330761943,0.999992728296218,3,12,""actin filament-based process"",""BP"""
"GO:0050794,0.000292314895205975,0.999881645021833,24,948,""regulation of cellular process"",""BP"""
"GO:0048518,0.000298652741820068,0.999923285011379,12,314,""positive regulation of biological process"",""BP"""
"GO:0060177,0.00037254287979021,1,2,2,""regulation of angiotensin metabolic process"",""BP"""
"GO:0044057,0.000401219384416723,0.999950145642778,6,83,""regulation of system process"",""BP"""
"GO:0099054,0.000519224983453881,0.999983221279489,3,15,""presynapse assembly"",""BP"""
"GO:0018298,0.000767972405593837,0.999944970285491,4,29,""protein-chromophore linkage"",""BP"""
"GO:0032879,0.000981475916262878,0.999797312224107,8,168,""regulation of localization"",""BP"""
"GO:0070837,0.00113772495011483,0.99995122438427,3,16,""dehydroascorbic acid transport"",""BP"""
"GO:0071897,0.001146636040728,0.999863708615212,5,67,""DNA biosynthetic process"",""BP"""
"GO:0050482,0.00135148461501749,0.999887141122274,4,29,""arachidonic acid secretion"",""BP"""
"GO:0035814,0.00135525988746896,0.999986203201731,2,4,""negative regulation of renal sodium excretion"",""BP"""
"GO:0019478,0.00162428122193127,0.999978959406746,2,5,""D-amino acid catabolic process"",""BP"""
"GO:0007610,0.00198528640087166,0.999597670135265,7,145,""behavior"",""BP"""
"GO:0071838,0.00206753679303277,0.999969706566829,2,5,""cell proliferation in bone marrow"",""BP"""
"GO:1900086,0.00206753679303277,0.999969706566829,2,5,""positive regulation of peptidyl-tyrosine autophosphorylation"",""BP"""
"GO:1903597,0.00206753679303277,0.999969706566829,2,5,""negative regulation of gap junction assembly"",""BP"""
"GO:0023052,0.00242727858594711,0.999566935843514,6,124,""signaling"",""BP"""
"GO:0045730,0.00246609724416152,0.99995699923869,2,6,""respiratory burst"",""BP"""
"GO:0008202,0.00270020861170651,0.999607518093166,5,78,""steroid metabolic process"",""BP"""
"GO:1902033,0.00282934509292561,0.999947068793348,2,6,""regulation of hematopoietic stem cell proliferation"",""BP"""
"GO:1902476,0.00347274546126024,0.99960920560897,4,50,""chloride transmembrane transport"",""BP"""
"GO:0044237,0.00351027126213871,0.999017444681756,9,249,""cellular metabolic process"",""BP"""
"GO:0060978,0.00394423469250749,0.999907633591684,2,7,""angiogenesis involved in coronary vascular morphogenesis"",""BP"""
"GO:0006576,0.00430285549515374,0.999887470452989,2,9,""cellular biogenic amine metabolic process"",""BP"""
"GO:0008643,0.00452290741483288,0.999664182883774,3,28,""carbohydrate transport"",""BP"""
"GO:0090281,0.00516979338133203,0.99986081338304,2,7,""negative regulation of calcium ion import"",""BP"""
"GO:0003081,0.00531303067980063,0.999845104943925,2,9,""regulation of systemic arterial blood pressure by renin-angiotensin"",""BP"""
"GO:0021860,0.00598758540569133,0.999804357051928,2,12,""pyramidal neuron development"",""BP"""
"GO:0038001,0.00619102106434889,0.999804665540644,2,9,""paracrine signaling"",""BP"""
"GO:0048021,0.00622976867420377,0.999795085554068,2,11,""regulation of melanin biosynthetic process"",""BP"""
"GO:0016525,0.00627372687698417,0.998640777924576,6,130,""negative regulation of angiogenesis"",""BP"""
